date,year,month,month_name,year_month,category,transaction_direction,amount,signed_amount,detail_raw,detail_clean,detail_grouped,classification_source,shopping_type,expense_type,recurrence,source_file,source_sheet,source_row
2024-01-03,2024,1,January,2024-01,food,expense,240.0,-240.0,Mango Shake Kiosk,mango_shake_kiosk,needs_review,needs_review,,operating,recurring,raw_transactions_sample.csv,SampleExport,6
2024-01-03,2024,1,January,2024-01,other_things,expense,300.0,-300.0,gift loft,gift_loft,family_support,exact_rule,,operating,one_off,raw_transactions_sample.csv,SampleExport,6
2024-01-03,2024,1,January,2024-01,transport,expense,240.0,-240.0,,,transport,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,6
2024-01-04,2024,1,January,2024-01,food,expense,180.0,-180.0,northside grocer,northside_grocer,groceries,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,7
2024-01-04,2024,1,January,2024-01,housing_utilities,expense,4100.0,-4100.0,,,housing_utilities,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,7
2024-01-04,2024,1,January,2024-01,other_things,expense,420.0,-420.0,Orbit Pharmacy,orbit_pharmacy,healthcare,exact_rule,,operating,one_off,raw_transactions_sample.csv,SampleExport,7
2024-01-05,2024,1,January,2024-01,food,expense,80.0,-80.0,daily roaster,daily_roaster,snacks_drinks,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,8
2024-01-08,2024,1,January,2024-01,food,expense,110.0,-110.0,Spark Soda,spark_soda,snacks_drinks,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,9
2024-01-08,2024,1,January,2024-01,other_things,expense,1350.0,-1350.0,METRO HOME,metro_home,shopping,exact_rule,household,capital,one_off,raw_transactions_sample.csv,SampleExport,9
2024-01-09,2024,1,January,2024-01,food,expense,110.0,-110.0,Spark Soda,spark_soda,snacks_drinks,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,10
2024-01-09,2024,1,January,2024-01,housing_utilities,expense,3800.0,-3800.0,,,housing_utilities,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,10
2024-01-09,2024,1,January,2024-01,transport,expense,45.0,-45.0,,,transport,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,10
2024-01-10,2024,1,January,2024-01,food,expense,250.0,-250.0,pier pizza,pier_pizza,restaurants,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,11
2024-01-10,2024,1,January,2024-01,transport,expense,45.0,-45.0,,,transport,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,11
2024-01-11,2024,1,January,2024-01,family,expense,620.0,-620.0,FAMILY MEDICINE,family_medicine,healthcare,exact_rule,,operating,one_off,raw_transactions_sample.csv,SampleExport,12
2024-01-11,2024,1,January,2024-01,food,expense,120.0,-120.0,Weekend Trip,weekend_trip,needs_review,needs_review,,operating,recurring,raw_transactions_sample.csv,SampleExport,12
2024-01-11,2024,1,January,2024-01,transport,expense,240.0,-240.0,,,transport,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,12
2024-01-11,2024,1,January,2024-01,food,expense,920.0,-920.0,Harbor-Mart,harbor_mart,groceries,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,13
2024-01-12,2024,1,January,2024-01,food,expense,120.0,-120.0,Corner Cart,corner_cart,needs_review,needs_review,,operating,recurring,raw_transactions_sample.csv,SampleExport,14
2024-01-12,2024,1,January,2024-01,housing_utilities,expense,3200.0,-3200.0,,,housing_utilities,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,14
2024-01-12,2024,1,January,2024-01,other_things,expense,2600.0,-2600.0,Pixel  Hub,pixel_hub,home_office,exact_rule,electronics,capital,one_off,raw_transactions_sample.csv,SampleExport,14
2024-01-12,2024,1,January,2024-01,transport,expense,45.0,-45.0,,,transport,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,14
2024-01-15,2024,1,January,2024-01,food,expense,85.0,-85.0,SPARK SODA,spark_soda,snacks_drinks,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,15
2024-01-15,2024,1,January,2024-01,income,income,22000.0,22000.0,MONTHLY PAYROLL,monthly_payroll,salary,exact_rule,,income,recurring,raw_transactions_sample.csv,SampleExport,15
2024-01-16,2024,1,January,2024-01,food,expense,140.0,-140.0,LUNA CAFE,luna_cafe,restaurants,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,16
2024-01-16,2024,1,January,2024-01,other_things,expense,780.0,-780.0,NOVA BOOKS,nova_books,shopping,exact_rule,books,capital,one_off,raw_transactions_sample.csv,SampleExport,16
2024-01-17,2024,1,January,2024-01,food,expense,620.0,-620.0,PIER PIZZA,pier_pizza,restaurants,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,17
2024-01-17,2024,1,January,2024-01,other_things,expense,120.0,-120.0,Weekend Trip,weekend_trip,needs_review,needs_review,,operating,recurring,raw_transactions_sample.csv,SampleExport,17
2024-01-18,2024,1,January,2024-01,food,expense,140.0,-140.0,LUNA CAFE,luna_cafe,restaurants,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,18
2024-01-18,2024,1,January,2024-01,other_things,expense,120.0,-120.0,Weekend Trip,weekend_trip,needs_review,needs_review,,operating,recurring,raw_transactions_sample.csv,SampleExport,18
2024-01-19,2024,1,January,2024-01,food,expense,85.0,-85.0,Spark Soda,spark_soda,snacks_drinks,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,19
2024-01-19,2024,1,January,2024-01,housing_utilities,expense,4200.0,-4200.0,,,housing_utilities,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,19
2024-01-19,2024,1,January,2024-01,subscriptions,expense,550.0,-550.0,FIT CIRCLE,fit_circle,subscriptions,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,19
2024-01-22,2024,1,January,2024-01,food,expense,410.0,-410.0,Pier Pizza,pier_pizza,restaurants,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,20
2024-01-22,2024,1,January,2024-01,transport,expense,80.0,-80.0,,,transport,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,20
2024-01-23,2024,1,January,2024-01,food,expense,410.0,-410.0,Pier Pizza,pier_pizza,restaurants,exact_rule,,operating,recurring,raw_transactions_sample.csv,SampleExport,21
2024-01-23,2024,1,January,2024-01,other_things,expense,980.0,-980.0,trail outfitters,trail_outfitters,shopping,exact_rule,travel,capital,one_off,raw_transactions_sample.csv,SampleExport,21
2024-01-23,2024,1,January,2024-01,transport,expense,45.0,-45.0,,,transport,category_default_no_detail,,operating,recurring,raw_transactions_sample.csv,SampleExport,21
